ko,en,ja,zh,note
전주,Jeonju,チョンジュ,全州,
전북,Jeonbuk,チョンブク,全北,
도청,Provincial Office,道庁,道厅,전라북도청
전북도청,Jeonbuk Provincial Office,全北道庁,全北道厅,
전북도청타운,Jeonbuk Provincial Office Town,全北道庁タウン,全北道厅城,
전북대,Jeonbuk National Univ.,全北大,全北大,전북대학교
전북대병원,Jeonbuk National Univ. Hospital,全北大病院,全北大医院,
전북대구정문,Jeonbuk National Univ. Old Gate,全北大旧正門,全北大旧正门,
전북대한옥정문,Jeonbuk National Univ. Hanok Gate,全北大韓屋正門,全北大韩屋正门,
전북사대부고,Jeonbuk Univ. High School,全北大附属高校,全北大附属高中,
사대부고,Univ. High School,大学附属高校,大学附属高中,
전북현대모터스,Jeonbuk Hyundai Motors,全北現代モータース,全北现代汽车,
신시가지,Sinsigaji,新市街地,新市街地,서부신시가지
효자,Hyoja,ヒョジャ,孝子,
효천,Hyocheon,ヒョチョン,孝泉,
송천,Songcheon,ソンチョン,松川,
인후,Inhu,イヌ,麟後,
아중,Ajung,アジュン,牙中,
만성,Manseong,マンソン,萬成,
평화,Pyeonghwa,ピョンファ,平和,
서신,Seosin,ソシン,西新,
삼천,Samcheon,サムチョン,三川,
서곡,Seogok,ソゴク,西谷,
중화산,Junghwasan,チュンファサン,中華山,
호성,Hoseong,ホソン,湖城,
우아,Ua,ウア,牛牙,
덕진,Deokjin,トクチン,德津,
완산,Wansan,ワンサン,完山,
금암,Geumam,クムアム,金岩,
진북,Jinbuk,チンブク,鎮北,
용소,Yongso,ヨンソ,龍沼,
마전,Majeon,マジョン,麻田,
홍산,Hongsan,ホンサン,鴻山,
백제대로,Baekje-daero,百済大路,百济大路,
백제로,Baekje-ro,百済路,百济路,
반월,Banwol,パノル,半月,
혁신,Innovation City,革新都市,革新都市,전주혁신도시
혁신도시,Innovation City,革新都市,革新都市,
에코시티,Eco City,エコシティ,生态城,
에코,Eco City,エコシティ,生态城,
세병호,Sebyeongho Lake,セビョン湖,洗兵湖,
백석,Baekseok,ペクソク,白石,
한옥마을,Hanok Village,韓屋村,韩屋村,
경기전,Gyeonggijeon Shrine,慶基殿,庆基殿,
객사,Gaeksa,ケクサ,客舍,
고사,Gosa,コサ,高士,
영화의거리,Cinema Street,映画通り,电影街,
첫마중길,Cheonmajung-gil,チョンマジュンキル,初迎路,
어은,Eoeun,オウン,漁隱,
북일,Bugil,プギル,北一,
동산,Dongsan,トンサン,東山,
중산,Jungsan,チュンサン,中山,
하가,Haga,ハガ,下加,
하가지구,Haga District,ハガ地区,下加地区,
소양천,Soyangcheon,ソヤンチョン,所陽川,
모래내시장,Moraenae Market,モレネ市場,沙川市场,
서부시장,Seobu Market,西部市場,西部市场,
안골네거리,Angol Junction,アンゴル交差点,安谷路口,
화개네거리,Hwagae Junction,ファゲ交差点,花开路口,
평화사거리,Pyeonghwa Junction,ピョンファ交差点,平和路口,
시청,City Hall,市庁,市政厅,
덕진구청,Deokjin District Office,徳津区庁,德津区厅,
교직원공제회관,Teachers' Credit Union Hall,教職員共済会館,教职员共济会馆,
예수병원,Jesus Hospital,イエス病院,基督医院,
대자인병원,Daejain Hospital,テジャイン病院,大慈仁医院,
본병원,Bon Hospital,ボン病院,本医院,
수병원,Su Hospital,ス病院,秀医院,
근영여고,Geunyeong Girls' High School,クニョン女子高,槿英女高,
근영,Geunyeong,クニョン,槿英,
중앙여고,Jungang Girls' High School,中央女子高,中央女高,
기전,Gijeon,キジョン,紀全,
교대,Univ. of Education,教育大,教育大学,
대신정문,Daesin Main Gate,テシン正門,大信正门,
전주대,Jeonju Univ.,全州大,全州大,
상산타운,Sangsan Town,サンサンタウン,常山城,
기지제호수,Gijije Lake,キジジェ湖,基地堤湖,
혁신호수공원,Innovation City Lake Park,革新都市湖水公園,革新都市湖水公园,
용머리,Yongmeori,ヨンモリ,龙头,
견훤로,Gyeonhwon-ro,甄萱路,甄萱路,
서원로,Seowon-ro,書院路,书院路,
홍산로,Hongsan-ro,鴻山路,鸿山路,
안행교,Anhaeng Bridge,アンヘン橋,安行桥,
우전,Ujeon,ウジョン,雨田,
기전,Gijeon,キジョン,紀全,
중앙,Jungang,中央,中央,
중앙점,Jungang,中央,中央,
서일,Seoil,ソイル,西一,
오송,Osong,オソン,五松,
센트럴파크,Central Park,セントラルパーク,中央公园,
휴먼시아,Humansia,ヒューマンシア,休曼西亚,
우미린,Woomilim,ウミリン,友美林,
아이파크,I-Park,アイパーク,爱park,
코오롱,Kolon,コーロン,可隆,
쌍용,Ssangyong,サンヨン,双龙,
대방,Daebang,テバン,大邦,
에코르,Ecole,エコール,艾克尔,
스위첸,SwitChen,スウィッチェン,瑞驰,
흥건,Heunggeon,フングン,兴建,
부영,Booyoung,ブヨン,富荣,
신라스테이,Shilla Stay,新羅ステイ,新罗酒店,
롯데,Lotte,ロッテ,乐天,
이마트,E-mart,Eマート,易买得,
지구,District,地区,地区,
마을,Village,村,村,
타운,Town,タウン,城,
1호,No.1,1号,1号,
1가,1(il)-ga,1街,1街,
북부,North,北部,北部,
남부,South,南部,南部,
