ko,en,ja,zh,미매칭
스타벅스 전주덕진광장DT점입구,Starbucks Jeonju Deokjin Plaza DT Entrance,スターバックス チョンジュトクチン広場DT入口店,星巴克 全州德津广场DT入口店,
이디야커피 전주하가지구점,EDIYA COFFEE Jeonju Haga District,イディヤコーヒー チョンジュハガ地区店,EDIYA COFFEE 全州下加地区店,
메가MGC커피 전주하가지구점,MEGA COFFEE Jeonju Haga District,メガMGCコーヒー チョンジュハガ地区店,MEGA COFFEE 全州下加地区店,
투썸플레이스 전주하가점,A TWOSOME PLACE Jeonju Haga,ア・トゥーサムプレイス チョンジュハガ店,A TWOSOME PLACE 全州下加店,
빽다방 전주하가점,PAIK'S COFFEE Jeonju Haga,ペクタバン チョンジュハガ店,白茶坊 全州下加店,
투썸플레이스 전주인후점,A TWOSOME PLACE Jeonju Inhu,ア・トゥーサムプレイス チョンジュイヌ店,A TWOSOME PLACE 全州麟後店,
투썸플레이스 전주삼천점,A TWOSOME PLACE Jeonju Samcheon,ア・トゥーサムプレイス チョンジュサムチョン店,A TWOSOME PLACE 全州三川店,
컴포즈커피 전주상산타운점,COMPOSE COFFEE Jeonju Sangsan Town,コンポーズコーヒー チョンジュサンサンタウン店,COMPOSE COFFEE 全州常山城店,
빽다방 전주삼천흥건점,PAIK'S COFFEE Jeonju Samcheon Heunggeon,ペクタバン チョンジュサムチョンフングン店,白茶坊 全州三川兴建店,
컴포즈커피 전주인후점,COMPOSE COFFEE Jeonju Inhu,コンポーズコーヒー チョンジュイヌ店,COMPOSE COFFEE 全州麟後店,
이디야커피 전주인후점,EDIYA COFFEE Jeonju Inhu,イディヤコーヒー チョンジュイヌ店,EDIYA COFFEE 全州麟後店,
빽다방 전주인후점,PAIK'S COFFEE Jeonju Inhu,ペクタバン チョンジュイヌ店,白茶坊 全州麟後店,
메가MGC커피 전주인후점,MEGA COFFEE Jeonju Inhu,メガMGCコーヒー チョンジュイヌ店,MEGA COFFEE 全州麟後店,
이디야커피 전북대병원점,EDIYA COFFEE Jeonbuk National Univ. Hospital,イディヤコーヒー 全北大病院店,EDIYA COFFEE 全北大医院店,
빽다방 전주아중견훤로점,PAIK'S COFFEE Jeonju Ajung Gyeonhwon-ro,ペクタバン チョンジュアジュン甄萱路店,白茶坊 全州牙中甄萱路店,
빽다방 전주대자인병원점,PAIK'S COFFEE Jeonju Daejain Hospital,ペクタバン チョンジュテジャイン病院店,白茶坊 全州大慈仁医院店,
메가MGC커피 전주대자인병원점,MEGA COFFEE Jeonju Daejain Hospital,メガMGCコーヒー チョンジュテジャイン病院店,MEGA COFFEE 全州大慈仁医院店,
컴포즈커피 전주대자인병원점,COMPOSE COFFEE Jeonju Daejain Hospital,コンポーズコーヒー チョンジュテジャイン病院店,COMPOSE COFFEE 全州大慈仁医院店,
투썸플레이스 전주에코호수DT점,A TWOSOME PLACE Jeonju Eco City Lake DT,ア・トゥーサムプレイス チョンジュエコシティ湖DT店,A TWOSOME PLACE 全州生态城湖DT店,
빽다방 전주금암점,PAIK'S COFFEE Jeonju Geumam,ペクタバン チョンジュクムアム店,白茶坊 全州金岩店,
빽다방 전북대1호점,PAIK'S COFFEE Jeonbuk National Univ. No.1,ペクタバン 全北大1号店,白茶坊 全北大1号店,
투썸플레이스 전주전북대점,A TWOSOME PLACE Jeonju Jeonbuk National Univ.,ア・トゥーサムプレイス チョンジュ全北大店,A TWOSOME PLACE 全州全北大店,
이디야커피 전북대구정문점,EDIYA COFFEE Jeonbuk National Univ. Old Gate,イディヤコーヒー 全北大旧正門店,EDIYA COFFEE 全北大旧正门店,
컴포즈커피 전북대점,COMPOSE COFFEE Jeonbuk National Univ.,コンポーズコーヒー 全北大店,COMPOSE COFFEE 全北大店,
스타벅스 전주IC DT점,Starbucks Jeonju IC DT,スターバックス チョンジュIC DT店,星巴克 全州IC DT店,
이디야커피 전북현대모터스E점,EDIYA COFFEE Jeonbuk Hyundai Motors E,イディヤコーヒー 全北現代モータースE店,EDIYA COFFEE 全北现代汽车E店,
빽다방 전주시청점,PAIK'S COFFEE Jeonju City Hall,ペクタバン チョンジュ市庁店,白茶坊 全州市政厅店,
스타벅스 전주시청점,Starbucks Jeonju City Hall,スターバックス チョンジュ市庁店,星巴克 全州市政厅店,
