brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
스타벅스,,스타벅스 전주덕진광장DT점입구,전북특별자치도 전주시 덕진구 덕진동1가,전북특별자치도 전주시 덕진구 덕진동1가,도로시설>방면정보,35.846583,127.12525,,추가(CSV에 없음)
이디야,이디야커피전주하가지구점,이디야커피 전주하가지구점,전북특별자치도 전주시 덕진구 가련산로 10,전북특별자치도 전주시 덕진구 덕진동2가 695-2,"카페,디저트>카페",35.8406886,127.1105499,,확인
메가MGC커피,,메가MGC커피 전주하가지구점,전북특별자치도 전주시 덕진구 가련산로 11,전북특별자치도 전주시 덕진구 덕진동2가 693-2 1층 101호,"카페,디저트>카페",35.8411013,127.1100554,,추가(CSV에 없음)
투썸플레이스,투썸플레이스하가점,투썸플레이스 전주하가점,전북특별자치도 전주시 덕진구 가련산로 20,전북특별자치도 전주시 덕진구 덕진동2가 694-2 투썸플레이스 하가점,"카페,디저트>카페",35.8413593,127.1112765,,확인
빽다방,빽다방전주하가점,빽다방 전주하가점,전북특별자치도 전주시 덕진구 가련산로 7,전북특별자치도 전주시 덕진구 덕진동2가 693-3 형진빌딩 102호,"카페,디저트>테이크아웃커피",35.8409459,127.109858,,확인
투썸플레이스,투썸플레이스전주인후점,투썸플레이스 전주인후점,전북특별자치도 전주시 덕진구 가재미로 100,전북특별자치도 전주시 덕진구 인후동1가 834-1 민빌딩1/2층,"카페,디저트>카페",35.833563,127.1606678,,확인
투썸플레이스,투썸플레이스전주효천점,투썸플레이스 전주삼천점,전북특별자치도 전주시 완산구 강변로 68,전북특별자치도 전주시 완산구 삼천동1가 286-1,"카페,디저트>카페",35.7976093,127.1101116,,확인
컴포즈커피,,컴포즈커피 전주상산타운점,전북특별자치도 전주시 완산구 거마평로 121 상산타운(상가),전북특별자치도 전주시 완산구 효자동1가 652 상가 2동 1층 102호,"카페,디저트>카페",35.803339,127.1165647,,추가(CSV에 없음)
빽다방,빽다방전주삼천흥건점,빽다방 전주삼천흥건점,전북특별자치도 전주시 완산구 거마평로 25 흥건1차아파트 상가,전북특별자치도 전주시 완산구 삼천동1가 300-3 113호 빽다방 전주삼천흥건점,"카페,디저트>테이크아웃커피",35.7947355,127.1166617,https://100원커피이벤트-선착순주문하기.com,확인
컴포즈커피,,컴포즈커피 전주인후점,전북특별자치도 전주시 덕진구 건산로 244,전북특별자치도 전주시 덕진구 인후동1가 845-7 1층 컴포즈커피,"카페,디저트>카페",35.834468,127.163978,,추가(CSV에 없음)
이디야,이디야커피아중리점,이디야커피 전주인후점,전북특별자치도 전주시 덕진구 건산로 250,전북특별자치도 전주시 덕진구 인후동1가 846-4,"카페,디저트>카페",35.8346239,127.1645827,https://blog.naver.com/ediya-coffee,확인
빽다방,빽다방전주인후점,빽다방 전주인후점,전북특별자치도 전주시 덕진구 건산로 254,전북특별자치도 전주시 덕진구 인후동1가 846-6 1층,"카페,디저트>테이크아웃커피",35.8347096,127.1648614,,확인
메가MGC커피,,메가MGC커피 전주인후점,전북특별자치도 전주시 덕진구 건산로 255 롯데슈퍼,전북특별자치도 전주시 덕진구 인후동1가 807-10 롯데슈퍼,"카페,디저트>카페",35.835505,127.1647796,https://100원커피이벤트-선착순주문하기.com,추가(CSV에 없음)
이디야,이디야전북대병원점,이디야커피 전북대병원점,전북특별자치도 전주시 덕진구 건지로 20 전북대학교병원,전북특별자치도 전주시 덕진구 금암동 634-18 1층,"카페,디저트>카페",35.8470973,127.1411625,https://blog.naver.com/ediya-coffee,확인
빽다방,,빽다방 전주아중견훤로점,전북특별자치도 전주시 덕진구 견훤로 233,전북특별자치도 전주시 덕진구 인후동1가 811-2,"카페,디저트>테이크아웃커피",35.8323831,127.1580508,,추가(CSV에 없음)
빽다방,빽다방전주대자인병원점,빽다방 전주대자인병원점,전북특별자치도 전주시 덕진구 견훤로 376-1,전북특별자치도 전주시 덕진구 우아동3가 749-63 1층,"카페,디저트>테이크아웃커피",35.8448294,127.1536641,,확인
메가MGC커피,,메가MGC커피 전주대자인병원점,전북특별자치도 전주시 덕진구 견훤로 379,전북특별자치도 전주시 덕진구 인후동2가 1577-5 1층 101호,"카페,디저트>카페",35.8449694,127.15305,,추가(CSV에 없음)
컴포즈커피,,컴포즈커피 전주대자인병원점,전북특별자치도 전주시 덕진구 견훤로 380,전북특별자치도 전주시 덕진구 우아동3가 734-23 1층 일부호(우아동3가),"카페,디저트>카페",35.845179,127.1534915,,추가(CSV에 없음)
투썸플레이스,투썸플레이스전주에코호수DT,투썸플레이스 전주에코호수DT점,전북특별자치도 전주시 덕진구 과학로 147,전북특별자치도 전주시 덕진구 전미동1가 593-11 투썸플레이스 에코호수DT점,"카페,디저트>카페",35.8821576,127.1280314,,확인
빽다방,,빽다방 전주금암점,전북특별자치도 전주시 덕진구 권삼득로 238,전북특별자치도 전주시 덕진구 금암동 728-28,"카페,디저트>테이크아웃커피",35.8389247,127.1337242,,추가(CSV에 없음)
빽다방,빽다방전북대1호점,빽다방 전북대1호점,전북특별자치도 전주시 덕진구 권삼득로 301,전북특별자치도 전주시 덕진구 금암동 664-53,"카페,디저트>테이크아웃커피",35.8431136,127.1286135,https://100원커피이벤트-선착순주문하기.com,확인
투썸플레이스,,투썸플레이스 전주전북대점,전북특별자치도 전주시 덕진구 권삼득로 307,전북특별자치도 전주시 덕진구 금암동 664-46,"카페,디저트>카페",35.8434239,127.1281538,http://www.twosome.co.kr/,추가(CSV에 없음)
이디야,이디야커피전북대점,이디야커피 전북대구정문점,전북특별자치도 전주시 덕진구 권삼득로 313,"전북특별자치도 전주시 덕진구 금암동 664-39 2,3층","카페,디저트>카페",35.8436952,127.1277173,https://blog.naver.com/ediya-coffee,확인
컴포즈커피,,컴포즈커피 전북대점,전북특별자치도 전주시 덕진구 권삼득로 315,전북특별자치도 전주시 덕진구 금암동 664-15,"카페,디저트>카페",35.8437363,127.1274958,,추가(CSV에 없음)
스타벅스,스타벅스전주IC DT점,스타벅스 전주IC DT점,전북특별자치도 전주시 덕진구 기린대로 1022,전북특별자치도 전주시 덕진구 여의동 654-2,"카페,디저트>카페",35.8680373,127.0745599,http://www.starbucks.co.kr/,확인
이디야,,이디야커피 전북현대모터스E점,전북특별자치도 전주시 덕진구 기린대로 1055 월드컵경기장,전북특별자치도 전주시 덕진구 반월동 763-1 3층,"카페,디저트>카페",35.8680847,127.0645093,,추가(CSV에 없음)
빽다방,,빽다방 전주시청점,전북특별자치도 전주시 완산구 기린대로 205 다올빌딩,전북특별자치도 전주시 완산구 서노송동 568-116 다올빌딩 빽다방 전주시청점,"카페,디저트>테이크아웃커피",35.8253228,127.1469554,,추가(CSV에 없음)
스타벅스,,스타벅스 전주시청점,전북특별자치도 전주시 완산구 기린대로 213 대우빌딩,전북특별자치도 전주시 완산구 서노송동 568-95,"카페,디저트>카페",35.8257422,127.1463498,http://www.starbucks.co.kr/,추가(CSV에 없음)
스타벅스,스타벅스전주덕진광장DT,스타벅스 전주덕진광장DT점,전북특별자치도 전주시 덕진구 기린대로 491,전북특별자치도 전주시 덕진구 덕진동1가 1275-22,"카페,디저트>카페",35.8429457,127.1242736,http://www.starbucks.co.kr/,확인
스타벅스,,스타벅스 전주혁신도시점,전북특별자치도 전주시 덕진구 기지로 68,전북특별자치도 전주시 덕진구 중동 774-3,"카페,디저트>카페",35.8381029,127.0593199,http://www.starbucks.co.kr/,추가(CSV에 없음)
빽다방,,빽다방 전주혁신1호점,전북특별자치도 전주시 덕진구 기지로 77 대방 디엠시티,전북특별자치도 전주시 덕진구 장동 1111 B129호,"카페,디저트>테이크아웃커피",35.8390606,127.0605141,http://paikdabang.com/,추가(CSV에 없음)
컴포즈커피,,컴포즈커피 전주혁신대방점,전북특별자치도 전주시 덕진구 기지로 82,전북특별자치도 전주시 덕진구 중동 775-2 1층 102동(중동),"카페,디저트>카페",35.838091,127.0609063,,추가(CSV에 없음)
