입력명,검색어,네이버상호,도로명주소,지번주소,전화,카테고리,네이버링크,lat,lng,store_type,분류근거,판정
디저트39 전주객사점,디저트39 전주객사점,디저트39 전주 객사점,전북특별자치도 전주시 완산구 팔달로 201-4 하모니빌딩,전북특별자치도 전주시 완산구 고사동 25 하모니빌딩 1층 디저트39 전주객사점,,"카페,디저트>카페",https://www.instagram.com/dessert39_jeonjugaeksa/,35.8205101,127.145752,cafe,"네이버 분류 '카페,디저트>카페'",OK
디저트39 전주삼천점,디저트39 전주삼천점,디저트39 전주삼천점,전북특별자치도 전주시 완산구 용리로 65,전북특별자치도 전주시 완산구 삼천동1가 597-9,,"카페,디저트>카페",,35.7987904,127.1172989,cafe,"네이버 분류 '카페,디저트>카페'",OK
디저트39 전주아중점,디저트39 전주아중점,디저트39 전주아중점,전북특별자치도 전주시 덕진구 건산로 261,전북특별자치도 전주시 덕진구 우아동2가 860-6,,"카페,디저트>카페",,35.835493,127.1657739,cafe,"네이버 분류 '카페,디저트>카페'",OK
디저트39 전북대점,디저트39 전북대점,디저트39 전북대점,전북특별자치도 전주시 덕진구 권삼득로 333,전북특별자치도 전주시 덕진구 덕진동1가 664-6 1층 115호,,"카페,디저트>카페",,35.8449363,127.1258928,cafe,"네이버 분류 '카페,디저트>카페'",OK
디저트39 전주만성점,디저트39 전주만성점,디저트39 전주만성점,전북특별자치도 전주시 덕진구 만성로 137,전북특별자치도 전주시 덕진구 만성동 1367-3 만성에코르1단지 상가 107호,,"카페,디저트>카페",http://www.dessert39.com,35.8437908,127.0760096,cafe,"네이버 분류 '카페,디저트>카페'",OK
제로스토어 전북대점,제로스토어 전북대점,제로스토어 전북대점,전북특별자치도 전주시 덕진구 기린대로 480,전북특별자치도 전주시 덕진구 덕진동1가 1262-16 1층 104호,,"쇼핑,유통>식료품",https://www.instagram.com/zero_store_official_/,35.8426216,127.1257114,zero_store,"네이버 분류 '쇼핑,유통>식료품' → 식료품 판매",OK
헬키푸키 전주혁신도시점,헬키푸키 전주혁신도시점,헬키푸키 전주혁신도시점,전북특별자치도 완주군 이서면 기지로 50,전북특별자치도 완주군 이서면 갈산리 664-2 1층 101호,,분식>종합분식,https://헬키푸키.kr/,35.8380848,127.057509,restaurant,네이버 분류 '분식>종합분식',OK
리얼식단 전북도청점,리얼식단 전북도청점,리얼식단 전북도청점,전북특별자치도 전주시 완산구 범안1길 12,전북특별자치도 전주시 완산구 효자동2가 1163-5 101호,,브런치카페,https://www.instagram.com/real.sicdan_jeonju,35.8127162,127.1084314,cafe,네이버 분류 '브런치카페',OK
전주 무가당,전주 무가당,무가당,전북특별자치도 전주시 덕진구 세병로 208 에코시티 데시앙 14블럭 상가,전북특별자치도 전주시 덕진구 송천동2가 1296 105호,,"음식점>카페,디저트",,35.8792057,127.1296469,cafe,"네이버 분류 '음식점>카페,디저트'",OK
전주 제로초이스,전주 제로초이스,제로초이스 전주신시가지점,전북특별자치도 전주시 완산구 홍산로 246,전북특별자치도 전주시 완산구 효자동2가 1154-1 1동 1층 101호,,"쇼핑,유통>식료품",https://zerochoice.kr/,35.8155568,127.1064474,zero_store,"네이버 분류 '쇼핑,유통>식료품' → 식료품 판매",OK
영칼로리포케 전주신시가지점,영칼로리포케 전주신시가지점,영칼로리포케&샐러드 전주신시가지점,전북특별자치도 전주시 완산구 홍산로 260 엠스퀘어,"전북특별자치도 전주시 완산구 효자동3가 1531-2 107호, 107-1호",,"도시락,컵밥>다이어트,샐러드",,35.8168321,127.1064625,restaurant,"네이버 분류 '도시락,컵밥>다이어트,샐러드'",OK
슬로우캘리 전주효자점,슬로우캘리 전주효자점,슬로우캘리 전주효자점,전북특별자치도 전주시 완산구 홍산중앙로 13,전북특별자치도 전주시 완산구 효자동2가 1155-10 102호,,"도시락,컵밥>다이어트,샐러드",http://www.slowcali.co.kr,35.8148696,127.1087401,restaurant,"네이버 분류 '도시락,컵밥>다이어트,샐러드'",OK
샐러디 전주송천점,샐러디 전주송천점,샐러디 전주송천점,전북특별자치도 전주시 덕진구 사근1길 10,전북특별자치도 전주시 덕진구 송천동2가 175-52 104호,,"도시락,컵밥>다이어트,샐러드",http://www.salady.com/,35.8664095,127.128096,restaurant,"네이버 분류 '도시락,컵밥>다이어트,샐러드'",OK
샐러디 전주혁신도시점,샐러디 전주혁신도시점,샐러디 전주혁신도시점,전북특별자치도 전주시 덕진구 기지로 77 대방 디엠시티,전북특별자치도 전주시 덕진구 장동 1111 A-116호,,"도시락,컵밥>다이어트,샐러드",http://www.salady.com/,35.8390606,127.0605141,restaurant,"네이버 분류 '도시락,컵밥>다이어트,샐러드'",OK
