verdict,store_id,name,type,region,naver_top,naver_addr,naver_total,used_query
NONE,e9cb9f7a-e739-4f5c-9efe-5fbc20e33b3e,1994 Bakeshop,cafe,마포구,,,0,1994 Bakeshop 마포구
NONE,bb897d13-0139-4f29-9134-f2c410035f1a,스윗프로비전 키토베이커리 낙성대점,cafe,관악구,,,0,스윗프로비전 키토베이커리 관악구
CHECK,f3ba04ae-8ae8-4233-b62c-760878ac03ac,닥터로빈 명동점,cafe,중구,닥터로빈 광화문점,서울특별시 종로구 종로3길 17 다타워 5층 3호,1,닥터로빈 명동점
CHECK,73547a53-03bf-431f-baeb-3013926cc22a,써니브레드,cafe,성동구,써니브레드,경기도 용인시 처인구 지삼로 590,2,써니브레드
CHECK,51007e18-e2bf-457c-923a-4779e5042a6e,차선책 압구정점,cafe,강남구,차선책서울,서울특별시 강남구 선릉로155길 14,1,차선책 압구정점
CHECK,f4fa9aa6-7267-4f17-a602-06c52a0cbf0a,행복한 단백질,cafe,성동구,행복한허브이야기,서울특별시 관악구 신림로36길 8,1,행복한 단백질
CHECK,d8ebfc30-bf37-4970-9bbd-b2450e6f8fc2,행복한 단백질,cafe,성동구,행복한허브이야기,서울특별시 관악구 신림로36길 8,1,행복한 단백질
CHECK,0719ed15-25c0-4833-a1df-61317a7ed18b,닥터로빈 영등포신세계점,restaurant,영등포구,닥터로빈 신세계타임스퀘어점,서울특별시 영등포구 영중로 9 신세계타임스퀘어 백화점 패션관 9층 닥터로빈,1,닥터로빈 영등포신세계점 영등포구
CHECK,8adb3c3c-2791-416b-84a1-63e43cc958f7,보슬보슬 강남점,restaurant,강남구,보슬보슬 압구정본점,"서울특별시 강남구 압구정로 216 지상 1층 16, 17, 18, 19호",2,보슬보슬 강남점
CHECK,687222e7-8854-466c-b298-00586c84984a,보슬보슬 압구정점,restaurant,강남구,보슬보슬 압구정본점,"서울특별시 강남구 압구정로 216 지상 1층 16, 17, 18, 19호",1,보슬보슬 압구정점
CHECK,b8d48155-a0d1-4946-bb76-2aba138c0eef,영칼로리포케&샐러드 전주신시가지점,restaurant,전주시 완산구,영칼로리포케&amp;샐러드 전주신시가지점,"전북특별자치도 전주시 완산구 홍산로 260 107호, 107-1호",1,영칼로리포케&샐러드 전주신시가지점 전주시 완산구
CHECK,c9b14ae2-b88b-4386-8c6b-2483ea7cbc58,잠실대공원 샐러드,restaurant,송파구,투또톤토,서울특별시 광진구 능동로 125 1층 투또톤토,5,잠실대공원 샐러드
CHECK,f4818ae3-11ec-41e4-9fb6-799503246615,제로스토어 방배점,zero_store,서초구,제로스토어 사당점,서울특별시 동작구 동작대로3길 31 1층 제로스토어 사당점,3,제로스토어 방배점
CHECK,ab8c1407-eb59-45d5-b820-9ef68b6ee04a,제로연구소 양천향교역점,zero_store,강서구,한국ABA행동발달연구소,서울특별시 강서구 양천로 401 강서한강자이타워 B동 1414호,5,제로연구소 양천향교역점
MATCH,0f6eb7fa-8472-448a-acdd-1be87abb1fe1,널담은공간 경복궁점,cafe,종로구,널담은공간 경복궁점,서울특별시 종로구 삼청로 24,1,널담은공간 경복궁점 종로구
MATCH,94c08698-df9f-4699-8120-5ec443ec9523,널담은공간 해방촌점,cafe,용산구,널담은공간 해방촌점,서울특별시 용산구 신흥로15길 18-12,1,널담은공간 해방촌점 용산구
MATCH,d61f93ef-535d-4ee0-9f47-7f21bebd88d0,당가라과자점,cafe,강북구,당가라과자점,서울특별시 강북구 오현로6길 34 1층,1,당가라과자점 강북구
MATCH,49be3410-b2ff-4b5f-a6dd-fe9c5a3eb2a1,디저트39 전북대점,cafe,전주시 덕진구,디저트39 전북대점,전북특별자치도 전주시 덕진구 권삼득로 333 1층 115호,2,디저트39 전북대점 전주시 덕진구
MATCH,bcac8deb-cc86-47c4-a0e1-3d7cca9df01c,디저트39 전주 객사점,cafe,전주시 완산구,디저트39 전주 객사점,전북특별자치도 전주시 완산구 팔달로 201-4 하모니빌딩 1층 디저트39 전주객사점,1,디저트39 전주 객사점 전주시 완산구
MATCH,b57b279c-8697-4fdf-b1b0-18d284f3baeb,디저트39 전주만성점,cafe,전주시 덕진구,디저트39 전주만성점,전북특별자치도 전주시 덕진구 만성로 137 만성에코르1단지 상가 107호,1,디저트39 전주만성점 전주시 덕진구
MATCH,bbaf7e7f-f349-441d-9baf-ef0f0c3bb030,디저트39 전주삼천점,cafe,전주시 완산구,디저트39 전주삼천점,전북특별자치도 전주시 완산구 용리로 65,1,디저트39 전주삼천점 전주시 완산구
MATCH,26a006d8-39fa-4407-9321-445f0996c129,디저트39 전주아중점,cafe,전주시 덕진구,디저트39 전주아중점,전북특별자치도 전주시 덕진구 건산로 261,1,디저트39 전주아중점 전주시 덕진구
MATCH,5af8a1db-d5b3-4002-8938-be786e27f9f1,라므아르,cafe,마포구,라므아르,서울특별시 마포구 월드컵로11길 46-14 2층,1,라므아르 마포구
MATCH,14f51848-76f9-4623-bf85-2ac388a1c14b,리얼식단 전북도청점,cafe,전주시 완산구,리얼식단 전북도청점,전북특별자치도 전주시 완산구 범안1길 12 101호,1,리얼식단 전북도청점 전주시 완산구
MATCH,3651b257-c5f5-4d72-8a72-7869336976e0,무가당,cafe,전주시 덕진구,무가당,전북특별자치도 전주시 덕진구 세병로 208 105호,1,무가당 전주시 덕진구
MATCH,161b6714-aeb7-43d6-93fd-505c5246e380,스윗트윅 설탕 밀 쌀가루 무첨가,cafe,마포구,스윗트윅 설탕 밀 쌀가루 무첨가,서울특별시 마포구 성미산로31길 13 1층,1,스윗트윅 설탕 밀 쌀가루 무첨가 마포구
MATCH,4212275b-3655-410b-be8a-a9dfaee18ae9,어나더쏭 중곡점,cafe,광진구,어나더쏭 중곡점,서울특별시 광진구 능동로48길 57 어나더쏭 중곡점,1,어나더쏭 중곡점 광진구
MATCH,89a88e80-f849-47cc-a65a-184351c84291,왓더훅,cafe,강북구,왓더훅,서울특별시 강북구 오패산로30길 55,1,왓더훅 강북구
MATCH,7abdce57-3d90-4b54-a8ff-684b14214da4,이로운제과,cafe,광진구,이로운제과,서울특별시 광진구 뚝섬로32길 29 1층,1,이로운제과 광진구
MATCH,f538d0dd-651f-4990-af74-1bf0d40a17e9,인터랙트with글루텐프리,cafe,강남구,인터랙트with글루텐프리,서울특별시 강남구 강남대로118길 16 1층,1,인터랙트with글루텐프리 강남구
