매장명,예상구,알고있는주소,사유
차이채,강남구,서울 강남구 언주로155길 14 1층,❌ 네이버 미등록
저스트레스,성동구,서울 성동구 무학자7가길 9,❌ 네이버 미등록
프로베 베이커리,마포구,서울 마포구 학습로2길 17-22 1층,❌ 네이버 미등록
제로카페 하나음,마포구,서울 마포구 이상수로27길 17 지하1층,❌ 네이버 미등록
무화당,은평구,서울 은평구 팬령로77길 28,⚠️ 서울 지점 미등록(일산점만 확인)
제로랩 남성역점,동작구,서울 동작구 삼성로 280 1층,❌ 네이버 미등록
로어앤모어,,,❌ 네이버 미등록
슈퍼말차더카페,,,❌ 네이버 미등록
희한한제과점,,,❌ 네이버 미등록
도야팡,,,❌ 네이버 미등록
틴베이크,,,❌ 네이버 미등록
리솜브레드,,,❌ 네이버 미등록
브레드믿유,,,❌ 네이버 미등록
스플래쉬베이커리,,,❌ 네이버 미등록
콩지니빵,,,❌ 네이버 미등록
미니데일리베이커리,,,❌ 네이버 미등록
잇포레스트,,,❌ 네이버 미등록
베이크샵 피봇,,,❌ 네이버 미등록
마이굿밀,,,❌ 네이버 미등록
무슈콘,,,❌ 네이버 미등록
비건 빵빵이네,,,❌ 네이버 미등록
유스트레스,,,❌ 네이버 미등록
행복한단백질,성동구,서울 성동구 마조로 58,❌ 네이버 미등록
노모어슈가,,,❌ 네이버 미등록
매화로와,,,❌ 네이버 미등록
멜로우스트릿,,,❌ 네이버 미등록
망넛이네,서대문구,,⚠️ 오매칭(수버킷=기업) — 주소 직접 입력 필요
윤달,,,⚠️ 오매칭(윤달오리전문점=식당) — 재확인 필요
미니마이즈,,,⚠️ 오매칭(워크미니마이즈=사무공간) — 재확인 필요
