name,district,기존_phone,네이버_telephone,기존_instagram,네이버_link,적용_insta
1994 Bakeshop,마포구,,,https://instagram.com/1994_bakeshop,,
널담은공간 경복궁점,종로구,,,https://instagram.com/nuldam,http://www.nuldam.com,
당가라과자점,강북구,,,,https://blog.naver.com/dangara_keto,
라므아르,마포구,,,,https://oven-lamoire.web.app/?utm_source=ig&utm_medium=social&utm_content=link_in_bio,
스윗트윅 설탕 밀 쌀가루 무첨가,마포구,,,,https://smartstore.naver.com/sweettweak,
스윗프로비전 키토베이커리 낙성대점,관악구,,,,https://www.instagram.com/sweet_provision,https://instagram.com/sweet_provision
써니브레드,성동구,,,https://instagram.com/sunnybread_official,,
어나더쏭 중곡점,광진구,,,,,
왓더훅,강북구,,,,https://www.instagram.com/whathe__huck,https://instagram.com/whathe__huck
이로운제과,광진구,,,,https://m.youtube.com/watch?v=lxzGieAc_Ng,
인터랙트with글루텐프리,강남구,0507-1373-7290,,https://instagram.com/cafe_interact,https://www.instagram.com/cafe_interact,
제로랩 강서점,강서구,,,https://instagram.com/zerolab.official,,
제로랩 광화문점,종로구,,,https://instagram.com/zerolab.official,,
제로랩 구로구청점,구로구,,,https://instagram.com/zerolab.official,,
제로랩 롯데월드몰점,송파구,,,https://instagram.com/zerolab.official,,
제로랩 상계역점,노원구,,,https://instagram.com/zerolab.official,,
제로랩 세곡점,강남구,,,https://instagram.com/zerolab.official,,
제로랩 수유역점,강북구,,,https://instagram.com/zerolab.official,,
제로랩 신림점,금천구,,,https://instagram.com/zerolab.official,,
제로랩 어린이대공원역점,광진구,,,https://instagram.com/zerolab.official,,
제로랩 용산역점,용산구,,,https://instagram.com/zerolab.official,,
제로스토어 신림점,관악구,,,https://instagram.com/zerostore.kr,https://www.instagram.com/zero_store_official_/,https://instagram.com/zero_store_official_
제로카페 홍대점,마포구,,,,https://www.instagram.com/zerocafe_hongdae,https://instagram.com/zerocafe_hongdae
진켈란젤로 치즈케이크,마포구,,,,https://www.instagram.com/jinchelangelo.cheesecake,https://instagram.com/jinchelangelo.cheesecake
차선책 압구정점,강남구,,,,https://www.instagram.com/cafe_cha.sun.cheak_seoul?igsh=MWJreXU4MXg1bnNnZg%3D%3D&utm_source=qr,https://instagram.com/cafe_cha.sun.cheak_seoul
카페 산스 익선 플래그십 스토어,종로구,070-7779-1806,,https://instagram.com/sans.foundry,https://www.instagram.com/sans.foundry,
키에리,용산구,,,,http://instagram.com/kyeri_official,https://instagram.com/kyeri_official
키토빵앗간,마포구,,,https://instagram.com/ketobbang,https://www.instagram.com/ketobbang,
필로베이커리,마포구,,,,https://www.instagram.com/filo_bakerycafe,https://instagram.com/filo_bakerycafe
행복한 단백질,성동구,02-2298-4722,,,,
휘게라이프,관악구,,,,https://www.instagram.com/hyggelife_talk,https://instagram.com/hyggelife_talk
히포디저트,광진구,,,,https://www.instagram.com/hippo.dessert,https://instagram.com/hippo.dessert
