brand,name,road,lat,lng,action
제로스토어,제로스토어 대학로점,서울특별시 종로구 동숭2길 4,37.5806969,127.0045292,🆕 신규INSERT
제로스토어,제로스토어 서울 성균관대점,서울특별시 종로구 성균관로 7-2,37.5836398,126.9980073,🆕 신규INSERT
제로스토어,제로스토어 상왕십리점,서울특별시 성동구 왕십리로 379-1,37.5645784,127.0280081,🆕 신규INSERT
제로스토어,제로스토어 성신여대점,서울특별시 성북구 동소문로 115,37.5935174,127.0175485,🆕 신규INSERT
제로스토어,제로스토어 숙명여대점,서울특별시 용산구 청파로45길 17,37.5442922,126.9695904,🆕 신규INSERT
제로스토어,제로스토어 신설동역점,서울특별시 동대문구 왕산로 21 민족통일대통령빌딩,37.5768071,127.0258077,🆕 신규INSERT
제로스토어,제로스토어 이대점,서울특별시 서대문구 이화여대길 45,37.5589429,126.9455868,🆕 신규INSERT
제로스토어,제로스토어 마포역 오벨리스크점,서울특별시 마포구 마포대로 33 마포 한화 오벨리스크,37.5399848,126.9454474,🆕 신규INSERT
제로스토어,제로스토어 노량진점,서울특별시 동작구 만양로 81,37.5108098,126.9444594,🆕 신규INSERT
제로스토어,제로스토어 뚝섬점,서울특별시 성동구 상원길 46,37.548125,127.0485085,🆕 신규INSERT
제로스토어,제로스토어 구의역점,서울특별시 광진구 아차산로 361,37.5369605,127.0828891,🆕 신규INSERT
제로스토어,제로스토어 건대입구점,서울특별시 광진구 능동로13길 6,37.542518,127.0714716,🆕 신규INSERT
제로스토어,제로스토어 어린이대공원역점,서울특별시 광진구 광나루로 382,37.5474591,127.0720944,🆕 신규INSERT
제로스토어,제로스토어 군자점,서울특별시 광진구 천호대로111길 20 태양빌딩,37.5572139,127.082548,🆕 신규INSERT
제로스토어,제로스토어 몽촌토성역점,서울특별시 송파구 오금로11길 45 사보이시티잠실,37.5160118,127.1123587,🆕 신규INSERT
제로스토어,제로스토어 답십리역점,서울특별시 동대문구 천호대로 301 답십리역 지웰에스테이트,37.5661375,127.0543157,🆕 신규INSERT
제로스토어,제로스토어 회기역점,서울특별시 동대문구 이문로 31-1,37.5904738,127.0560187,🆕 신규INSERT
제로스토어,제로스토어 청량리점,서울특별시 동대문구 답십리로1길 10 힐스테이트 청량리 더퍼스트,37.5787209,127.0435968,🆕 신규INSERT
제로스토어,제로스토어 장안사거리점,서울특별시 동대문구 답십리로 269 화성빌딩,37.5726823,127.0704467,🆕 신규INSERT
제로스토어,제로스토어 본점,서울특별시 중랑구 망우로 306-1,37.5964367,127.0865248,🆕 신규INSERT
제로스토어,제로스토어 먹골역점,서울특별시 중랑구 공릉로2길 7 구산빌딩,37.6122399,127.0782754,🆕 신규INSERT
제로스토어,제로스토어 장안현대벤처빌점,서울특별시 동대문구 장한로 85 장안현대벤처빌,37.5685304,127.0688399,🆕 신규INSERT
제로스토어,제로스토어 회기역2호점,서울특별시 동대문구 망우로 79,37.5902318,127.0619149,🆕 신규INSERT
제로스토어,제로스토어 고려대점,서울특별시 성북구 고려대로24길 55,37.5836972,127.0296694,🆕 신규INSERT
제로스토어,제로스토어 성신여대정문점,서울특별시 성북구 보문로34길 72,37.5910929,127.0193331,🆕 신규INSERT
제로스토어,제로스토어 광운대점,서울특별시 노원구 광운로 15 금혁빌딩,37.6190393,127.0576168,🆕 신규INSERT
제로스토어,제로스토어 덕성여대점,서울특별시 도봉구 삼양로144길 9,37.6516612,127.0133869,🆕 신규INSERT
제로스토어,제로스토어 노원역점,서울특별시 노원구 상계로 51 노원프라자빌딩,37.6559935,127.0608623,🆕 신규INSERT
제로스토어,제로스토어 공릉점,서울특별시 노원구 공릉로 201,37.6273918,127.0781901,🆕 신규INSERT
제로스토어,제로스토어 태릉입구점,서울특별시 노원구 동일로 986 노원 프레미어스 엠코,37.618481,127.076212,🆕 신규INSERT
제로스토어,제로스토어 연신내역점,서울특별시 은평구 연서로29길 34,37.6200154,126.9168834,🆕 신규INSERT
제로스토어,제로스토어 녹번역점,서울특별시 은평구 은평로 227 MD빌딩,37.6013105,126.9328523,🆕 신규INSERT
제로스토어,제로스토어 구파발점,서울특별시 은평구 통일로 1010 아이파크포레스트게이트,37.6327972,126.9185713,🆕 신규INSERT
제로스토어,제로스토어 응암점,서울특별시 은평구 은평로 104,37.5996652,126.9194189,🆕 신규INSERT
제로스토어,제로스토어 불광점,서울특별시 은평구 통일로 767 베르디움STAY1,37.6133826,126.9269422,🆕 신규INSERT
제로스토어,제로스토어 명지대점,서울특별시 서대문구 거북골로 47,37.5787009,126.9229319,🆕 신규INSERT
제로스토어,제로스토어 연희점,서울특별시 서대문구 연희로 88,37.5659042,126.9304143,🆕 신규INSERT
제로스토어,제로스토어 홍대연남점,서울특별시 서대문구 신촌로 11,37.5584351,126.9282871,🆕 신규INSERT
제로스토어,제로스토어 신촌점,서울특별시 서대문구 명물길 38,37.5583599,126.9387624,🆕 신규INSERT
제로스토어,제로스토어 합정역점,서울특별시 마포구 독막로 21,37.5486302,126.9158855,🆕 신규INSERT
제로스토어,제로스토어 상수점,서울특별시 마포구 와우산로 51,37.5490891,126.9228649,🆕 신규INSERT
제로스토어,제로스토어 상암점,서울특별시 마포구 월드컵북로 402 KGIT 센터,37.5802099,126.8889677,🆕 신규INSERT
제로스토어,제로스토어 망원시장점,서울특별시 마포구 월드컵로13길 61,37.5551534,126.9067009,🆕 신규INSERT
제로스토어,제로스토어 염창역점,서울특별시 양천구 공항대로 634,37.5466891,126.8751713,🆕 신규INSERT
제로스토어,제로스토어 까치산역점,서울특별시 강서구 곰달래로 136,37.5305224,126.8479984,🆕 신규INSERT
제로스토어,제로스토어 마곡역점,서울특별시 강서구 마곡중앙로 76 힐스테이트에코마곡역,37.5604212,126.8275176,🆕 신규INSERT
제로스토어,제로스토어 등촌역점,서울특별시 강서구 공항대로61길 6,37.5513507,126.8654081,🆕 신규INSERT
제로스토어,제로스토어 마곡나루역점,서울특별시 강서구 마곡서로 152 두산더랜드타워,37.5676701,126.8259797,🆕 신규INSERT
제로스토어,제로스토어 마곡발산점,서울특별시 강서구 강서로 409 엘리안,37.5621672,126.8389759,🆕 신규INSERT
제로스토어,제로스토어 영등포로터리점,서울특별시 영등포구 경인로 900 여의도더리브스타일,37.5176933,126.9126502,🆕 신규INSERT
제로스토어,제로스토어 가산점,서울특별시 금천구 디지털로10길 55,37.4758852,126.8899646,🆕 신규INSERT
제로스토어,제로스토어 금천독산점,서울특별시 금천구 범안로 1212 e편한세상 독산 더타워,37.4660351,126.896264,🆕 신규INSERT
제로스토어,제로스토어 구로디지털역점,서울특별시 관악구 시흥대로 566,37.4832027,126.9022949,🆕 신규INSERT
제로스토어,제로스토어 보라매공원점,서울특별시 동작구 보라매로5길 43 보라매삼성쉐르빌,37.4914501,126.923264,🆕 신규INSERT
제로스토어,제로스토어 당산역점,서울특별시 영등포구 양평로 11,37.5322559,126.9046784,🆕 신규INSERT
제로스토어,제로스토어 여의도점,서울특별시 영등포구 국제금융로6길 33,37.5207575,126.9269566,🆕 신규INSERT
제로스토어,제로스토어 이수점,서울특별시 동작구 동작대로27길 12,37.4876486,126.9812715,🆕 신규INSERT
제로스토어,제로스토어 사당점,서울특별시 동작구 동작대로3길 31,37.4784544,126.9795986,🆕 신규INSERT
제로스토어,제로스토어 중앙대점,서울특별시 동작구 흑석로 91,37.5074209,126.9597493,🆕 신규INSERT
제로스토어,제로스토어 신대방점,서울특별시 관악구 난곡로 358-1,37.4860185,126.9139151,🆕 신규INSERT
제로스토어,제로스토어 서울대입구역7번출구점,서울특별시 관악구 봉천로 482,37.4817419,126.9534081,🆕 신규INSERT
제로스토어,제로스토어 신림점,서울특별시 관악구 남부순환로 1605,37.4843893,126.9291013,✓ 이미존재(동일)
제로스토어,제로스토어 서울대입구역점,서울특별시 관악구 남부순환로 1802 관악캠퍼스타워,37.4811802,126.9503221,🆕 신규INSERT
제로스토어,제로스토어 방배점,서울특별시 서초구 방배로13길 18 방배아크로타워,37.4831404,126.9953469,🆕 신규INSERT
제로스토어,제로스토어 송파점,서울특별시 송파구 송파대로36길 7-42,37.5006817,127.1127348,🆕 신규INSERT
제로스토어,제로스토어 문정르피에드점,서울특별시 송파구 송파대로 141 르피에드 문정,37.4828761,127.1233041,🆕 신규INSERT
제로스토어,제로스토어 명일역점,서울특별시 강동구 양재대로 1624 명원빌딩,37.5504116,127.1441388,🆕 신규INSERT
제로연구소,제로연구소 종로광화문점,서울특별시 종로구 종로 19 르메이에르종로타운1,37.5708345,126.9798606,✓ 이미존재(동일)
제로연구소,제로연구소 용산점,서울특별시 용산구 한강대로 69 용산푸르지오써밋,37.5273235,126.9651743,✓ 이미존재(동일)
제로연구소,제로연구소 수유역점,서울특별시 강북구 도봉로 342,37.6380351,127.0261456,✓ 이미존재(동일)
제로연구소,제로연구소 상계역점,서울특별시 노원구 한글비석로 396 벽산아파트,37.6619875,127.0731378,✓ 이미존재(동일)
제로연구소,제로연구소 양천향교역점,서울특별시 강서구 양천로 344 마곡센트럴대방디엠시티오피스텔,37.568266,126.8403595,✓ 이미존재(동일)
제로연구소,제로연구소 구로구청점,서울특별시 구로구 가마산로 271,37.496407,126.8902977,✓ 이미존재(동일)
제로연구소,제로연구소 신림푸르지오점,서울특별시 금천구 남부순환로 1432,37.4806043,126.909729,✓ 이미존재(동일)
제로연구소,제로연구소 상도역점,서울특별시 동작구 상도로 280,37.5023822,126.947942,✓ 이미존재(동일)
제로플러스,제로플러스 숙명여대점,서울특별시 용산구 청파로47길 66 중하빌딩,37.5450385,126.9667866,✓ 이미존재(동일)
제로플러스,제로플러스 스포애니 화곡역점,서울특별시 강서구 화곡로 191 남서울수영장,37.5429423,126.8422746,✓ 이미존재(동일)
제로플러스,제로플러스 스포애니 가산동점,서울특별시 금천구 가산로 106 주상복합두산아파트,37.4754448,126.8936809,✓ 이미존재(동일)
제로플러스,제로플러스 스포애니 교대역점,서울특별시 서초구 서초중앙로22길 17,37.4933206,127.0148253,✓ 이미존재(동일)
제로플러스,제로플러스 천호역점,서울특별시 강동구 올림픽로 610 천호역 효성해링턴타워,37.5359928,127.1231002,✓ 이미존재(동일)
제로초이스,제로초이스 수유점,서울특별시 강북구 한천로139길 11,37.639565,127.0262514,✓ 이미존재(동일)
제로초이스,제로초이스 왕십리역점,서울특별시 성동구 왕십리광장로 8-1,37.5610473,127.0362738,✓ 이미존재(동일)
제로초이스,제로초이스 한양대점,서울특별시 성동구 마조로 25 제일빌딩,37.5600682,127.0409426,✓ 이미존재(동일)
제로초이스,제로초이스 어린이대공원역점,서울특별시 광진구 군자로 70 동일흥업주식회사,37.5489803,127.0710721,✓ 이미존재(동일)
제로초이스,제로초이스 답십리점,서울특별시 동대문구 답십리로56길 116,37.5680206,127.0580142,✓ 이미존재(동일)
제로초이스,제로초이스 경희대점,서울특별시 동대문구 회기로 136,37.5911894,127.0516232,✓ 이미존재(동일)
